,family_id,members_num,family_lv,active_score,dt
184,-86390554,7.0,1.0,432.0,20221104
185,-1051800716,6.0,1.0,1278.0,20221104
186,1058752886,8.0,1.0,996.0,20221104
187,1161671244,5.0,1.0,1732.0,20221104
188,-317552254,11.0,1.0,906.0,20221104
189,-748494739,11.0,1.0,5340.0,20221104
190,1160958452,25.0,1.0,493.0,20221104
191,568598697,17.0,5.0,2795.0,20221104
192,-208119894,19.0,1.0,1317.0,20221104
193,-1936964018,31.0,1.0,231.0,20221104
194,-495948396,5.0,1.0,3415.0,20221104
195,-79148867,39.0,1.0,89.0,20221104
196,1825311607,1.0,1.0,420.0,20221104
197,1412636394,1.0,1.0,781.0,20221104
198,1087325281,21.0,3.0,66.0,20221104
199,1231894168,25.0,7.0,25.0,20221104
200,934560908,22.0,1.0,276.0,20221104
201,-263816615,32.0,7.0,2708.0,20221104
202,244998751,43.0,7.0,1029.0,20221104
203,1313511322,33.0,1.0,1234.0,20221104
204,665000947,8.0,1.0,27.0,20221104
205,-944121171,37.0,1.0,69.0,20221104
206,1404070017,38.0,1.0,796.0,20221104
207,2019953952,16.0,1.0,579.0,20221104
208,-1849188401,28.0,1.0,2704.0,20221104
209,1630975365,5.0,1.0,868.0,20221104
210,322018038,40.0,1.0,22.0,20221104
211,-1698084677,45.0,3.0,749.0,20221104
212,1783208753,28.0,1.0,94.0,20221104
213,1861584109,1.0,1.0,780.0,20221104
214,-2130842088,34.0,5.0,170.0,20221104
215,-2019982732,37.0,1.0,2323.0,20221104
216,993760441,21.0,1.0,819.0,20221104
217,214608306,7.0,1.0,253.0,20221104
218,-1398029382,30.0,1.0,6198.0,20221104
219,1501407070,23.0,1.0,670.0,20221104
220,-416104927,59.0,5.0,9863.0,20221104
221,-402264222,4.0,1.0,550.0,20221104
222,1552901196,49.0,1.0,247.0,20221104
223,676789001,1.0,1.0,0.0,20221104
224,-551574061,37.0,1.0,11.0,20221104
225,-1584286171,29.0,1.0,11.0,20221104
226,-389759808,35.0,7.0,12961.0,20221104
227,-1451040891,23.0,3.0,896.0,20221104
228,2134233414,40.0,3.0,129.0,20221104
229,1585777472,34.0,1.0,520.0,20221104
230,-1849834722,45.0,3.0,12344.0,20221104
231,-1788039449,42.0,1.0,1846.0,20221104
232,866303573,33.0,3.0,236.0,20221104
233,1114490788,59.0,9.0,2309.0,20221104
